model,variable,coef,pvalue
full_sample,L1_Exposure,0.001590673525345181,0.7583416896816175
peri,L1_Exposure,0.024132255112300376,0.014564932056016389
core,L1_Exposure,-0.0061213350069515456,0.3988008300571071
GE,L1_Exposure,0.021740408541205493,0.14174968517312125
RQ,L1_Exposure,0.046144579016429196,0.001245956738114673
GE_bottom33_rank,L1_Exposure,-0.024643991050268984,0.341483915951432
RQ_bottom33_rank,L1_Exposure,0.04114264401020661,0.05752849152241879
