Country Code,Year,FDI,GDP_Growth,Internet_Usage,WGI
MOZ,2024,15.4256916399298,2.14854964610538,,
MRT,2005,27.6520361298831,8.56628732009419,0.669966,-0.725180208683014
MRT,2005,27.6520361298831,8.56628732009419,0.669966,-0.376651972532272
MRT,2005,27.6520361298831,8.56628732009419,0.669966,-0.535383820533752
MRT,2005,27.6520361298831,8.56628732009419,0.669966,-0.224495947360992
MRT,2005,27.6520361298831,8.56628732009419,0.669966,-0.321755260229111
MRT,2005,27.6520361298831,8.56628732009419,0.669966,-0.912761688232422
MRT,2006,3.94434472704714,18.3331986932345,0.979661,-0.790643990039825
MRT,2006,3.94434472704714,18.3331986932345,0.979661,-0.466557532548904
MRT,2006,3.94434472704714,18.3331986932345,0.979661,-0.746408820152283
MRT,2006,3.94434472704714,18.3331986932345,0.979661,0.240350216627121
MRT,2006,3.94434472704714,18.3331986932345,0.979661,-0.90061366558075
MRT,2006,3.94434472704714,18.3331986932345,0.979661,-0.851902544498444
MRT,2007,3.2067650776131,-1.96942274988409,1.43361,-0.702090203762054
MRT,2007,3.2067650776131,-1.96942274988409,1.43361,-0.494043827056885
MRT,2007,3.2067650776131,-1.96942274988409,1.43361,-0.576470911502838
MRT,2007,3.2067650776131,-1.96942274988409,1.43361,-0.279368013143539
MRT,2007,3.2067650776131,-1.96942274988409,1.43361,-0.924703121185303
MRT,2007,3.2067650776131,-1.96942274988409,1.43361,-0.666273534297943
MRT,2008,6.58359348707617,-0.331079223430805,1.87,-1.16015195846558
MRT,2008,6.58359348707617,-0.331079223430805,1.87,-0.678380012512207
MRT,2008,6.58359348707617,-0.331079223430805,1.87,-0.785068154335022
MRT,2008,6.58359348707617,-0.331079223430805,1.87,-0.643881678581238
MRT,2008,6.58359348707617,-0.331079223430805,1.87,-1.00329864025116
MRT,2008,6.58359348707617,-0.331079223430805,1.87,-0.94266402721405
MRT,2009,-0.0651602023733604,0.0978759143320076,2.28,-0.814965605735779
MRT,2009,-0.0651602023733604,0.0978759143320076,2.28,-0.711697697639465
MRT,2009,-0.0651602023733604,0.0978759143320076,2.28,-0.60821795463562
MRT,2009,-0.0651602023733604,0.0978759143320076,2.28,-0.882854044437408
MRT,2009,-0.0651602023733604,0.0978759143320076,2.28,-0.925685346126556
MRT,2009,-0.0651602023733604,0.0978759143320076,2.28,-0.924538612365723
MRT,2010,2.31890567703789,2.62022948104543,4.0,-0.897638857364655
MRT,2010,2.31890567703789,2.62022948104543,4.0,-0.843002915382385
MRT,2010,2.31890567703789,2.62022948104543,4.0,-0.712734580039978
MRT,2010,2.31890567703789,2.62022948104543,4.0,-1.07616984844208
