REF_AREA,TIME_PERIOD,Exposure
ABW,2005,0.0
ABW,2006,0.0
ABW,2007,0.0
ABW,2008,0.0
ABW,2009,0.0
ABW,2010,0.0
ABW,2011,0.0
ABW,2012,0.0
ABW,2013,0.0
ABW,2014,0.0
ABW,2015,0.0
ABW,2016,0.0
ABW,2017,0.0
ABW,2018,0.0
ABW,2019,0.0
ABW,2020,0.0
ABW,2021,0.0
ABW,2022,0.0
ABW,2023,0.0
ABW,2024,0.0
AFG,2005,0.0
AFG,2006,0.0
AFG,2007,0.0
AFG,2008,0.00509497097221492
AFG,2009,0.00509497097221492
AFG,2010,0.00509497097221492
AFG,2011,0.00509497097221492
AFG,2012,0.00509497097221492
AFG,2013,0.00509497097221492
AFG,2014,0.00509497097221492
AFG,2015,0.00509497097221492
AFG,2016,0.00509497097221492
AFG,2017,0.00509497097221492
AFG,2018,0.00509497097221492
AFG,2019,0.00509497097221492
AFG,2020,0.00509497097221492
AFG,2021,0.00509497097221492
AFG,2022,0.00509497097221492
AFG,2023,0.00509497097221492
AFG,2024,0.00509497097221492
AGO,2005,0.0
AGO,2006,0.0
AGO,2007,0.0
AGO,2008,0.0
AGO,2009,0.0
AGO,2010,0.0
AGO,2011,0.0
AGO,2012,0.0
AGO,2013,0.0
AGO,2014,0.0
AGO,2015,0.0
AGO,2016,0.0
AGO,2017,0.0
AGO,2018,0.0
AGO,2019,0.0
AGO,2020,0.0
AGO,2021,0.0
AGO,2022,0.0
AGO,2023,0.0
AGO,2024,0.0
AIA,2005,0.0
AIA,2006,0.0
AIA,2007,0.0
AIA,2008,0.0
AIA,2009,0.0
AIA,2010,0.0
AIA,2011,0.0
AIA,2012,0.0
AIA,2013,0.0
AIA,2014,0.0
AIA,2015,0.0
AIA,2016,0.0
AIA,2017,0.0
AIA,2018,0.0
AIA,2019,0.0
AIA,2020,0.0
AIA,2021,0.0
AIA,2022,0.0
AIA,2023,0.0
AIA,2024,0.0
ALB,2005,0.3378418597654498
ALB,2006,6.145497807071054
ALB,2007,6.145891839059342
ALB,2008,6.145891839059342
ALB,2009,6.145891839059342
ALB,2010,6.145891839059342
ALB,2011,6.145891839059342
ALB,2012,6.145891839059342
ALB,2013,6.145891839059342
ALB,2014,6.145891839059342
ALB,2015,6.145891839059342
ALB,2016,6.145891839059342
ALB,2017,6.145891839059342
ALB,2018,6.145891839059342
ALB,2019,6.145891839059342
ALB,2020,6.145891839059342
ALB,2021,6.145891839059342
ALB,2022,6.145891839059342
ALB,2023,6.145891839059342
ALB,2024,6.145891839059342
ANT_F,2005,0.0
ANT_F,2006,0.0
ANT_F,2007,0.0
ANT_F,2008,0.0
ANT_F,2009,0.0
ANT_F,2010,0.0
ANT_F,2011,0.0
ANT_F,2012,0.0
ANT_F,2013,0.0
ANT_F,2014,0.0
ANT_F,2015,0.0
ANT_F,2016,0.0
ANT_F,2017,0.0
ANT_F,2018,0.0
ANT_F,2019,0.0
ANT_F,2020,0.0
ANT_F,2021,0.0
ANT_F,2022,0.0
ANT_F,2023,0.0
ANT_F,2024,0.0
