,ln_Resilience_Inv,Exposure,L1_Exposure,log_GDP_PC,FDI,RQ,GE,Out_Degree_Centrality
count,3339.0,3339.0,3339.0,3339.0,3339.0,3339.0,3339.0,3339.0
mean,-1.5303570983999641,0.7902701297311622,0.741991165857072,8.630007195836065,8.20725164076195,-0.017836506700329966,-0.03738369914195015,0.7771496686016512
std,0.3914893341648716,2.0041421816522917,1.9297881438113926,1.4453488133830423,51.204230467050216,0.9719595140813968,0.9785331794867929,0.19871419266087134
min,-2.622053632860327,0.0,0.0,5.531736027160813,-391.555119009248,-2.54772567749023,-2.44022870063782,0.0742574257425742
max,0.48572923232867377,16.57581426372088,16.57581426372088,11.795058288694058,1709.82722352518,2.30859136581421,2.46965980529785,0.99009900990099
