分析维度,样本数,平均值,标准差,最小值,最大值
网络韧性统计,198,5.466144224624444,2.115266332368664,1.861414844344548,13.815510557742227
规则敞口统计,199,1.073818744323788,2.483015010985765,0.0,16.57581426372088
