Country_Label,Tier_CN,Centrality,Resilience
CAN,超级枢纽,1.0,11.809708019273032
AUS,超级枢纽,1.0,10.235091429998988
CHE,超级枢纽,1.0,13.130403847922002
CHN,超级枢纽,1.0,13.205221454262109
IRL,超级枢纽,1.0,13.815510557742227
Hong Kong (China),超级枢纽,1.0,11.298729129807702
ISR,超级枢纽,1.0,8.54318048958012
USA,超级枢纽,1.0,13.815510557742227
SGP,超级枢纽,1.0,13.130403847922002
JPN,超级枢纽,1.0,10.848528259066969
IND,超级枢纽,1.0,8.599464393235
ESP,超级枢纽,0.9949238578680202,8.981945413645043
PHL,超级枢纽,0.9949238578680202,7.619813907404622
MLT,超级枢纽,0.9949238578680202,4.9657011744302215
KOR,超级枢纽,0.9949238578680202,7.285603595238611
GBR,超级枢纽,0.9949238578680202,8.630901268899438
CYP,超级枢纽,0.9949238578680202,6.013226715908308
DEU,超级枢纽,0.9949238578680202,6.069311114345894
FRA,超级枢纽,0.9949238578680202,8.689570689223027
NLD,超级枢纽,0.9949238578680202,5.852253152131919
ARE,超级枢纽,0.9949238578680202,8.829958002416445
BRA,超级枢纽,0.9949238578680202,7.558358585496477
MYS,超级枢纽,0.9949238578680202,5.972394099259691
TWN,超级枢纽,0.9898477157360406,7.439673639361616
LUX,超级枢纽,0.9898477157360406,9.19868571292196
THA,超级枢纽,0.9898477157360406,7.60444469442307
SWE,超级枢纽,0.9847715736040608,5.226545545440784
BRB,超级枢纽,0.9847715736040608,9.477626561266485
BHR,超级枢纽,0.9796954314720812,5.9504749704952005
IDN,超级枢纽,0.9796954314720812,5.3235035879054
NOR,超级枢纽,0.9796954314720812,5.718718596910769
MEX,超级枢纽,0.9796954314720812,6.06950102652849
TUR,超级枢纽,0.9796954314720812,8.311720465701477
PAN,超级枢纽,0.9746192893401014,5.150873619080642
BMU,超级枢纽,0.9746192893401014,5.30125879257773
COL,超级枢纽,0.9746192893401014,6.54999860367162
ITA,超级枢纽,0.9746192893401014,5.049270947137982
BEL,超级枢纽,0.9695431472081216,7.289365405754979
ZAF,超级枢纽,0.9695431472081216,7.961772521965045
MUS,超级枢纽,0.9695431472081216,4.203326646260282
CUB,超级枢纽,0.964467005076142,6.061738101972658
DNK,超级枢纽,0.964467005076142,5.070517023647069
IRQ,超级枢纽,0.964467005076142,6.204550965216565
MAR,超级枢纽,0.964467005076142,6.12649218507752
URY,超级枢纽,0.9593908629441624,6.379125857932049
SAU,超级枢纽,0.9593908629441624,7.142366781293782
MAC,核心枢纽,0.9543147208121828,6.280844438633593
KWT,核心枢纽,0.9543147208121828,5.9659698048594665
HRV,核心枢纽,0.9543147208121828,5.061822477391867
LVA,核心枢纽,0.9543147208121828,5.075386077565094
DZA,核心枢纽,0.9543147208121828,5.303834067681228
CYM,核心枢纽,0.9543147208121828,6.981002602833239
VNM,核心枢纽,0.9543147208121828,5.040257477520493
UKR,核心枢纽,0.9543147208121828,4.825492397097133
POL,核心枢纽,0.9543147208121828,4.815658875253918
EGY,核心枢纽,0.949238578680203,5.564741360154382
LKA,核心枢纽,0.949238578680203,4.73916946910205
PAK,核心枢纽,0.949238578680203,5.478545172898306
QAT,核心枢纽,0.949238578680203,5.278041690350791
AUT,核心枢纽,0.949238578680203,5.48433862593945
AZE,核心枢纽,0.949238578680203,6.477317398260474
BHS,核心枢纽,0.9441624365482232,5.018622030595786
RUS,核心枢纽,0.9390862944162436,4.441923180573261
GRC,核心枢纽,0.934010152284264,4.3932184273708765
CHL,核心枢纽,0.934010152284264,5.75576385409925
GHA,核心枢纽,0.934010152284264,6.800348840754074
CZE,核心枢纽,0.934010152284264,4.19410989747895
KAZ,核心枢纽,0.934010152284264,4.644593339963907
LBN,核心枢纽,0.934010152284264,5.199265991486235
FIN,核心枢纽,0.9238578680203045,4.208073595318592
SYC,核心枢纽,0.9238578680203045,6.199823452032372
LTU,核心枢纽,0.9238578680203045,3.301579873044254
LBR,核心枢纽,0.9238578680203045,3.908259729556152
NGA,核心枢纽,0.9238578680203045,5.956680933805275
TUN,核心枢纽,0.9187817258883249,5.641959267618165
NZL,核心枢纽,0.9187817258883249,4.416467825910117
ROU,核心枢纽,0.9187817258883249,4.863466344143428
IRN,核心枢纽,0.9137055837563453,4.9010523165226685
PRT,核心枢纽,0.9137055837563453,4.3707456152861015
BGR,核心枢纽,0.9035532994923856,5.689666868300447
UZB,核心枢纽,0.9035532994923856,4.076457316483166
HUN,核心枢纽,0.898477157360406,5.987866689339565
ARM,核心枢纽,0.8934010152284263,5.76374404794337
KEN,核心枢纽,0.8934010152284263,5.000911855339721
KGZ,核心枢纽,0.8883248730964466,2.798357461534978
ARG,核心枢纽,0.8883248730964466,5.129249862518637
AFG,核心枢纽,0.883248730964467,5.366246657641832
GEO,核心枢纽,0.883248730964467,5.339103309728599
PSE,核心枢纽,0.8781725888324873,4.072498189719615
GTM,核心枢纽,0.8781725888324873,9.473970241676977
PRK,核心枢纽,0.8781725888324873,4.275052694238164
GNQ,核心枢纽,0.8730964467005076,4.35809829378464
BLZ,核心枢纽,0.8680203045685279,5.781111836205921
CUW,核心枢纽,0.8680203045685279,4.113784486769945
AGO,核心枢纽,0.8629441624365481,3.7345893759445152
MDA,核心枢纽,0.8629441624365481,6.278079363846564
PER,核心枢纽,0.8578680203045684,5.143609120967405
EST,核心枢纽,0.8578680203045684,4.611702807207521
