REF_AREA,TIME_PERIOD,Degree,Trend,Cycle
BDI,2014,0.215,0.1927617233223173,0.02223827667768269
BDI,2015,0.21,0.19505616337388498,0.014943836626115009
BDI,2016,0.18,0.19390942717769608,-0.013909427177696082
BDI,2017,0.18,0.19424003956370667,-0.014240039563706675
BDI,2018,0.2,0.19874101701344157,0.0012589829865584379
BDI,2019,0.21,0.2078269696782326,0.002173030321767383
BDI,2020,0.215,0.22211394498726078,-0.007113944987260784
BDI,2021,0.225,0.2425656752211899,-0.017565675221189903
BDI,2022,0.275,0.26900766146272215,0.005992338537277875
BDI,2023,0.305,0.2984548967591691,0.006545103240830907
BDI,2024,0.335,0.32888114832380694,0.006118851676193082
BEL,2005,0.76,0.7587295924689156,0.0012704075310844276
BEL,2006,0.77,0.7851733868622992,-0.015173386862299187
BEL,2007,0.8,0.8118204464606562,-0.011820446460656164
BEL,2008,0.86,0.8364462945709922,0.02355370542900781
BEL,2009,0.875,0.8549351830666079,0.020064816933392127
BEL,2010,0.865,0.8669399566894456,-0.0019399566894455766
BEL,2011,0.865,0.8753238308907905,-0.010323830890790475
BEL,2012,0.865,0.882639628051616,-0.017639628051616008
BEL,2013,0.9,0.8897883576103693,0.010211642389630682
BEL,2014,0.905,0.8948486885172385,0.010151311482761494
BEL,2015,0.89,0.8975331525047532,-0.007533152504753171
BEL,2016,0.9,0.8991784911426844,0.0008215088573155782
BEL,2017,0.9,0.8999161416000434,8.385839995661559e-05
BEL,2018,0.905,0.9000089824630115,0.004991017536988496
BEL,2019,0.905,0.899733309661764,0.005266690338236013
BEL,2020,0.88,0.9001639819323942,-0.020163981932394215
BEL,2021,0.915,0.903218528465113,0.011781471534887067
BEL,2022,0.905,0.9075882413409481,-0.0025882413409480387
BEL,2023,0.9,0.9138494480865088,-0.013849448086508787
BEL,2024,0.935,0.9221643576138531,0.012835642386146984
BEN,2005,0.16,0.16719239189858642,-0.00719239189858642
BEN,2006,0.19,0.18467490229739672,0.005325097702603282
BEN,2007,0.205,0.20100662999243324,0.003993370007566749
BEN,2008,0.225,0.21588880791233866,0.00911119208766134
BEN,2009,0.19,0.22966160818696643,-0.03966160818696643
BEN,2010,0.26,0.24412299368019583,0.015877006319804182
BEN,2011,0.255,0.25472506994599164,0.0002749300540083599
BEN,2012,0.285,0.2594602635494872,0.025539736450512773
BEN,2013,0.27,0.25636498986445716,0.013635010135542858
BEN,2014,0.255,0.2475620220967582,0.007437977903241799
BEN,2015,0.22,0.237355735073934,-0.01735573507393401
BEN,2016,0.205,0.23124058008804707,-0.026240580088047083
BEN,2017,0.195,0.23193409081933036,-0.036934090819330356
BEN,2018,0.29,0.23795530813392948,0.0520446918660705
BEN,2019,0.255,0.24191381836689718,0.013086181633102822
BEN,2020,0.23,0.2447463585518575,-0.014746358551857491
BEN,2021,0.245,0.24948345478373085,-0.004483454783730856
BEN,2022,0.24,0.25679621578914047,-0.01679621578914048
BEN,2023,0.285,0.26663839752931257,0.01836160247068741
BEN,2024,0.275,0.27627636143921097,-0.001276361439210949
BFA,2005,0.095,0.07499120100226091,0.020008798997739094
BFA,2006,0.075,0.08882193859114175,-0.013821938591141752
BFA,2007,0.105,0.10585408401966089,-0.000854084019660889
BFA,2008,0.115,0.1270775349528739,-0.012077534952873906
BFA,2009,0.125,0.15334553561269068,-0.02834553561269068
BFA,2010,0.165,0.18357892462856126,-0.018578924628561255
BFA,2011,0.255,0.21216325493190527,0.042836745068094734
BFA,2012,0.275,0.23051145151357239,0.04448854848642764
BFA,2013,0.245,0.2368903185753075,0.008109681424692483
BFA,2014,0.205,0.23668482807668395,-0.03168482807668396
BFA,2015,0.225,0.23657750100522584,-0.011577501005225838
BFA,2016,0.245,0.23818128585618806,0.006818714143811938
BFA,2017,0.225,0.24125673096398925,-0.016256730963989247
BFA,2018,0.25,0.24665537892605796,0.003344621073942039
BFA,2019,0.26,0.25262769538558466,0.007372304614415348
BFA,2020,0.26,0.25795928535759055,0.002040714642409458
BFA,2021,0.265,0.26261532259540316,0.0023846774045968577
BFA,2022,0.26,0.2668874951951355,-0.006887495195135485
BFA,2023,0.275,0.271449039637636,0.0035509603623640196
BFA,2024,0.275,0.2758711931725315,-0.0008711931725314814
BGD,2005,0.255,0.25567382796151195,-0.0006738279615119414
BGD,2006,0.27,0.2696594651790977,0.00034053482090229403
BGD,2007,0.28,0.28353728992284166,-0.0035372899228416355
BGD,2008,0.305,0.2972539752902463,0.007746024709753718
BGD,2009,0.305,0.31019022799115936,-0.0051902279911593685
BGD,2010,0.325,0.3229661186889894,0.0020338813110106213
BGD,2011,0.345,0.33537128156855955,0.00962871843144042
BGD,2012,0.34,0.34752077182445446,-0.007520771824454431
BGD,2013,0.35,0.36107023960028933,-0.011070239600289355
BGD,2014,0.38,0.3764720115477665,0.0035279884522335103
BGD,2015,0.39,0.39240717598254216,-0.0024071759825421424
BGD,2016,0.4,0.4081212993726299,-0.008121299372629898
BGD,2017,0.44,0.42247480002883675,0.017525199971163252
BGD,2018,0.44,0.4330286883623493,0.00697131163765069
BGD,2019,0.45,0.44014800677974036,0.009851993220259647
BGD,2020,0.425,0.44531320754960674,-0.02031320754960675
BGD,2021,0.44,0.45158106185578667,-0.011581061855786667
BGD,2022,0.465,0.4587582276741815,0.006241772325818518
BGD,2023,0.485,0.46479839308376647,0.020201606916233517
BGD,2024,0.455,0.4686539297356478,-0.013653929735647774
BGR,2005,0.39,0.40410730055168304,-0.014107300551683022
BGR,2006,0.425,0.42950766696996184,-0.004507666969961854
BGR,2007,0.465,0.45265086529997134,0.012349134700028686
BGR,2008,0.505,0.47055850073824834,0.03444149926175166
BGR,2009,0.48,0.4822280400333342,-0.002228040033334211
BGR,2010,0.475,0.4921675898156507,-0.017167589815650697
BGR,2011,0.515,0.5045287703102863,0.010471229689713701
BGR,2012,0.49,0.5207163873718252,-0.03071638737182525
BGR,2013,0.52,0.5438106436052058,-0.023810643605205795
BGR,2014,0.595,0.5719771196358745,0.023022880364125475
BGR,2015,0.605,0.5995716931124448,0.005428306887555134
BGR,2016,0.63,0.6246339025417902,0.0053660974582098175
BGR,2017,0.65,0.6460718155327928,0.003928184467207219
BGR,2018,0.665,0.6636520752876496,0.0013479247123504567
BGR,2019,0.685,0.6777698345233102,0.007230165476689865
BGR,2020,0.695,0.6890359139107008,0.005964086089299103
BGR,2021,0.695,0.6992179605970175,-0.004217960597017512
BGR,2022,0.695,0.7110378755037439,-0.016037875503743915
BGR,2023,0.71,0.726542685856841,-0.016542685856841044
BGR,2024,0.765,0.7452133588016709,0.01978664119832907
BHR,2005,0.595,0.5943523243645779,0.000647675635422118
BHR,2006,0.61,0.6127329443397507,-0.002732944339750687
BHR,2007,0.645,0.6312171924165911,0.013782807583408885
BHR,2008,0.665,0.6494714256024069,0.015528574397593142
BHR,2009,0.66,0.6693672501178509,-0.00936725011785089
BHR,2010,0.675,0.695260844087191,-0.020260844087190977
BHR,2011,0.63,0.7300096256158393,-0.10000962561583926
BHR,2012,0.845,0.7732292777552568,0.07177072224474312
BHR,2013,0.845,0.8085339434583707,0.036466056541629266
BHR,2014,0.855,0.8310210812372665,0.023978918762733503
BHR,2015,0.84,0.8416227186506913,-0.0016227186506913016
BHR,2016,0.84,0.8451075102594291,-0.005107510259429127
BHR,2017,0.825,0.8459844756401536,-0.0209844756401536
BHR,2018,0.84,0.8479454327280299,-0.007945432728029944
BHR,2019,0.855,0.8513246833557995,0.0036753166442005103
BHR,2020,0.85,0.8551852601197192,-0.005185260119719204
BHR,2021,0.87,0.8591782462791174,0.010821753720882565
BHR,2022,0.86,0.8621250834741677,-0.0021250834741677327
BHR,2023,0.865,0.8645786939403839,0.0004213060596161
BHR,2024,0.865,0.866751986557414,-0.0017519865574140425
BHS,2005,0.44,0.4413298228046152,-0.0013298228046151883
BHS,2006,0.445,0.45611164066716897,-0.011111640667168965
BHS,2007,0.48,0.4706806868809845,0.00931931311901546
BHS,2008,0.505,0.4830463272905767,0.021953672709423278
BHS,2009,0.48,0.4927090178395026,-0.012709017839502623
BHS,2010,0.49,0.5026818021048273,-0.012681802104827278
BHS,2011,0.505,0.5139442808092957,-0.008944280809295657
BHS,2012,0.535,0.5254469663388799,0.009553033661120147
BHS,2013,0.545,0.5347092861500649,0.010290713849935185
BHS,2014,0.545,0.5407791530851147,0.0042208469148853345
BHS,2015,0.54,0.5443509942022834,-0.004350994202283354
BHS,2016,0.545,0.5467945720662067,-0.001794572066206701
BHS,2017,0.535,0.5487834901691553,-0.013783490169155255
BHS,2018,0.57,0.5507042204728065,0.019295779527193413
BHS,2019,0.57,0.5507378765117736,0.019262123488226313
BHS,2020,0.53,0.5501528965450209,-0.020152896545020837
BHS,2021,0.545,0.5532996585896282,-0.008299658589628112
BHS,2022,0.545,0.5613040772154723,-0.016304077215472224
BHS,2023,0.58,0.5739641216180893,0.006035878381910664
BHS,2024,0.6,0.58846910863854,0.011530891361460016
BIH,2005,0.24,0.24398033035332728,-0.003980330353327288
BIH,2006,0.265,0.25836850109773285,0.006631498902267163
BIH,2007,0.255,0.27211981898560605,-0.01711981898560605
BIH,2008,0.305,0.2856584709847773,0.01934152901522268
BIH,2009,0.29,0.2966694730253801,-0.006669473025380124
BIH,2010,0.31,0.3059324856799836,0.004067514320016397
BIH,2011,0.315,0.3131600538370963,0.0018399461629037273
BIH,2012,0.315,0.3187155246764291,-0.003715524676429105
BIH,2013,0.33,0.32325663676375765,0.006743363236242361
BIH,2014,0.34,0.3268466447166288,0.013153355283371249
BIH,2015,0.305,0.3306277412703883,-0.025627741270388305
BIH,2016,0.33,0.3378466560057216,-0.007846656005721597
BIH,2017,0.355,0.347649679900052,0.00735032009994796
BIH,2018,0.355,0.3579276389698874,-0.002927638969887403
BIH,2019,0.365,0.3677474104477275,-0.0027474104477275274
BIH,2020,0.405,0.37570744933088995,0.029292550669110073
BIH,2021,0.365,0.3799666249450559,-0.014966624945055906
BIH,2022,0.375,0.38337061472296424,-0.008370614722964242
BIH,2023,0.4,0.3863704361061446,0.013629563893855445
BIH,2024,0.38,0.3880778081804526,-0.008077808180452617
BLR,2005,0.305,0.2980492399156546,0.00695076008434542
BLR,2006,0.3,0.30812277972720153,-0.008122779727201546
BLR,2007,0.31,0.31930844115224377,-0.009308441152243774
BLR,2008,0.345,0.3314187010479243,0.01358129895207566
BLR,2009,0.34,0.3427766856870272,-0.0027766856870271583
BLR,2010,0.35,0.35387852917466867,-0.003878529174668688
BLR,2011,0.365,0.3647760959060408,0.00022390409395917077
BLR,2012,0.375,0.3749006856083885,9.931439161148248e-05
BLR,2013,0.395,0.3837194226639902,0.011280577336009845
BLR,2014,0.4,0.39071532175778206,0.009284678242217959
BLR,2015,0.39,0.3971762899484621,-0.007176289948462089
BLR,2016,0.39,0.40587578281348313,-0.01587578281348312
BLR,2017,0.4,0.4184390495385441,-0.018439049538544083
BLR,2018,0.44,0.43395121405918696,0.0060487859408130396
BLR,2019,0.455,0.44854715238478676,0.006452847615213253
BLR,2020,0.48,0.4593295462752482,0.02067045372475179
BLR,2021,0.485,0.46443353310891033,0.020566466891089652
BLR,2022,0.43,0.4653015228600725,-0.03530152286007249
BLR,2023,0.475,0.46666656020560804,0.00833343979439194
BLR,2024,0.465,0.46761344616477907,-0.002613446164779043
BLZ,2005,0.255,0.27606261245832486,-0.02106261245832486
BLZ,2006,0.315,0.29572339388799695,0.019276606112003047
BLZ,2007,0.32,0.31201415732433707,0.007985842675662935
BLZ,2008,0.33,0.32464914175193366,0.005350858248066359
BLZ,2009,0.335,0.3346203209834813,0.00037967901651869695
BLZ,2010,0.325,0.34377580615136544,-0.018775806151365426
BLZ,2011,0.345,0.35402445703061447,-0.009024457030614497
BLZ,2012,0.36,0.36427100441203825,-0.0042710044120382595
BLZ,2013,0.405,0.3719762659615483,0.03302373403845171
BLZ,2014,0.39,0.37391769863913016,0.016082301360869855
BLZ,2015,0.35,0.3721565568509215,-0.02215655685092155
BLZ,2016,0.365,0.37132726322079945,-0.006327263220799462
BLZ,2017,0.385,0.3725191912764935,0.012480808723506487
BLZ,2018,0.36,0.3758093524304055,-0.015809352430405488
