Category,Count,Percentage,Out_Centrality_Percentage
超级节点 (出度>0.8),40,19.801980198019802,36.89033550325488
核心节点 (0.5<出度≤0.8),54,26.732673267326735,35.28793189784678
主要节点 (0.2<出度≤0.5),70,34.65346534653465,23.575363044566853
边缘节点 (0<出度≤0.2),38,18.81188118811881,4.246369554331498
