year,num_nodes,num_edges,density,avg_in_degree,avg_out_degree,total_weight
2005,199,19233,0.4881224303334856,96.64824120603015,96.64824120603015,2431883.33592
2010,201,19631,0.48833333333333334,97.66666666666667,97.66666666666667,3825182.903768
2015,202,19925,0.49073937244470717,98.63861386138613,98.63861386138613,5203778.698028
2020,202,19954,0.4914536229742377,98.78217821782178,98.78217821782178,6810257.093393
2023,202,19970,0.49184769223190977,98.86138613861387,98.86138613861387,9442982.639741
